setting,model,total_split_samples,selected_evaluable_samples,evaluated_samples,path_found_rate,safe_success_rate,unsafe_found_rate,collision_rate_among_found,path_safety_utility,start_or_goal_blocked_rate,mean_collision_fraction_found,mean_path_length_ratio_success,mean_map_iou,mean_inference_time_ms,mean_planning_time_ms
nominal_astar8,oracle_gt,648,508,508,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.274011412948942
nominal_astar8,rgb_baseline,648,508,508,0.3169291338582677,0.21850393700787402,0.09842519685039369,0.3105590062111801,0.12007874015748032,0.6811023622047244,0.021403748267200262,1.0008663339312933,0.5777110863798485,3.6618427135596625,0.37274684955908616
nominal_astar8,rgbd_concat_baseline,648,508,508,0.484251968503937,0.265748031496063,0.21850393700787396,0.45121951219512196,0.04724409448818906,0.5098425196850394,0.10025638490627856,1.0000529008381065,0.5639445637709584,3.545802952144222,0.6431399617256142
nominal_astar8,semantic_clean,648,508,508,0.42913385826771655,0.31299212598425197,0.11614173228346458,0.2706422018348624,0.19685039370078738,0.5531496062992126,0.019736820820431294,1.0026916048597916,0.6499551182752156,5.360359842082354,0.5677956702759651
dijkstra8,oracle_gt,648,508,508,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,10.097442324297122
dijkstra8,rgb_baseline,648,508,508,0.3169291338582677,0.21653543307086615,0.10039370078740156,0.3167701863354037,0.11614173228346458,0.6811023622047244,0.01930493765274201,1.000874209694305,0.5777110863798485,3.51333858282122,3.323574408138992
dijkstra8,rgbd_concat_baseline,648,508,508,0.484251968503937,0.2618110236220472,0.22244094488188976,0.45934959349593496,0.039370078740157466,0.5098425196850394,0.09738764230116237,1.0000536963394313,0.5639445637709584,3.8224338552929225,6.108695272435104
dijkstra8,semantic_clean,648,508,508,0.42913385826771655,0.3051181102362205,0.12401574803149606,0.2889908256880734,0.18110236220472442,0.5531496062992126,0.02060132201673227,1.002761065630367,0.6499551182752156,5.511599800028787,5.2464488157214175
astar4,oracle_gt,648,508,508,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0292094492346167
astar4,rgb_baseline,648,508,508,0.31496062992125984,0.21456692913385828,0.10039370078740156,0.31875,0.11417322834645671,0.6830708661417323,0.020340924663594044,1.0020718818784056,0.5777110863798485,3.6541348379142,0.3135320872589066
astar4,rgbd_concat_baseline,648,508,508,0.49015748031496065,0.25984251968503935,0.2303149606299213,0.46987951807228917,0.029527559055118058,0.5039370078740157,0.09839815157360365,1.0001306165099269,0.5639445637709584,3.9008444940073663,0.5937214607581878
astar4,semantic_clean,648,508,508,0.43503937007874016,0.30118110236220474,0.13385826771653542,0.3076923076923077,0.16732283464566933,0.5492125984251969,0.023843158035351687,1.0066190307022507,0.6499551182752156,5.899657090845349,0.5449653540345598
dijkstra4,oracle_gt,648,508,508,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7.8797147643209735
dijkstra4,rgb_baseline,648,508,508,0.31496062992125984,0.21456692913385828,0.10039370078740156,0.31875,0.11417322834645671,0.6830708661417323,0.02945431418632677,1.0020718818784056,0.5777110863798485,5.452749406227725,2.2998185082170086
dijkstra4,rgbd_concat_baseline,648,508,508,0.49015748031496065,0.25196850393700787,0.23818897637795278,0.4859437751004016,0.013779527559055094,0.5039370078740157,0.11683899349735231,1.000134698275862,0.5639445637709584,4.125188776488071,4.611339368059952
dijkstra4,semantic_clean,648,508,508,0.43503937007874016,0.30118110236220474,0.13385826771653542,0.3076923076923077,0.16732283464566933,0.5492125984251969,0.031182294321907736,1.0066190307022507,0.6499551182752156,5.962222639249462,3.732175977834625
astar8_start16,oracle_gt,648,508,508,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.4480076790750613
astar8_start16,rgb_baseline,648,508,508,0.3169291338582677,0.21850393700787402,0.09842519685039369,0.3105590062111801,0.12007874015748032,0.6811023622047244,0.021403748267200262,1.0008663339312933,0.5777110863798485,3.734698819315545,0.45906693040297963
astar8_start16,rgbd_concat_baseline,648,508,508,0.4881889763779528,0.265748031496063,0.22244094488188976,0.45564516129032256,0.04330708661417326,0.5059055118110236,0.10099402807583306,1.0000529008381065,0.5639445637709584,3.6003545298347412,0.9038202722619222
astar8_start16,semantic_clean,648,508,508,0.42913385826771655,0.31299212598425197,0.11614173228346458,0.2706422018348624,0.19685039370078738,0.5531496062992126,0.019736820820431294,1.0026916048597916,0.6499551182752156,6.093867718036778,0.6611224416988044
astar8_start24,oracle_gt,648,508,508,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.4181588554120528
astar8_start24,rgb_baseline,648,508,508,0.3169291338582677,0.21850393700787402,0.09842519685039369,0.3105590062111801,0.12007874015748032,0.6811023622047244,0.021403748267200262,1.0008663339312933,0.5777110863798485,3.678703934548232,0.41942932967492563
astar8_start24,rgbd_concat_baseline,648,508,508,0.4881889763779528,0.265748031496063,0.22244094488188976,0.45564516129032256,0.04330708661417326,0.5059055118110236,0.10099402807583306,1.0000529008381065,0.5639445637709584,3.9131799208616296,0.7098521636230651
astar8_start24,semantic_clean,648,508,508,0.42913385826771655,0.31299212598425197,0.11614173228346458,0.2706422018348624,0.19685039370078738,0.5531496062992126,0.019736820820431294,1.0026916048597916,0.6499551182752156,6.009576178300671,0.6825996058219383
astar8_start48,oracle_gt,648,494,494,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.443843923081165
astar8_start48,rgb_baseline,648,494,494,0.31781376518218624,0.22267206477732793,0.09514170040485831,0.29936305732484075,0.12753036437246962,0.680161943319838,0.01768291321504814,1.000874209694305,0.5782800660448477,3.672618216029953,0.41003724694938254
astar8_start48,rgbd_concat_baseline,648,494,494,0.4797570850202429,0.27125506072874495,0.20850202429149794,0.4345991561181435,0.062753036437247,0.5141700404858299,0.09514038361068161,1.0000532956204804,0.5603403474433747,3.6288576885428174,0.6927502059249532
astar8_start48,semantic_clean,648,494,494,0.43724696356275305,0.31983805668016196,0.11740890688259109,0.26851851851851855,0.20242914979757087,0.5445344129554656,0.018383266234393323,1.0027086403335879,0.657383653031642,6.203032592415191,0.6970439256104802
astar8_start64,oracle_gt,648,475,475,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.7855789485436522
astar8_start64,rgb_baseline,648,475,475,0.3136842105263158,0.21473684210526317,0.09894736842105262,0.31543624161073824,0.11578947368421055,0.6842105263157895,0.01916586734022831,1.000942775160525,0.5839454365693325,3.696332424879074,0.43699621051353843
astar8_start64,rgbd_concat_baseline,648,475,475,0.48210526315789476,0.25473684210526315,0.2273684210526316,0.47161572052401746,0.027368421052631542,0.5094736842105263,0.10792763521003369,1.0000590215962344,0.5632935381952772,3.6977176843701223,0.8233050541266015
astar8_start64,semantic_clean,648,475,475,0.44,0.3178947368421053,0.12210526315789472,0.27751196172248804,0.19578947368421057,0.5410526315789473,0.01940917098477193,1.0028342064417675,0.6680090535721703,5.659830738594265,0.6685431607949891
astar8_footprint_r1,oracle_gt,648,502,502,0.24900398406374502,0.24900398406374502,0.0,0.0,0.24900398406374502,0.750996015936255,0.0,1.0058659753269954,0.8183835754091873,0.0,0.340764540891382
astar8_footprint_r1,rgb_baseline,648,502,502,0.3565737051792829,0.21713147410358566,0.13944223107569723,0.39106145251396646,0.07768924302788843,0.6394422310756972,0.030792390058749442,1.0018159180637094,0.5611952045001244,3.5636274884287937,0.4923153421433413
astar8_footprint_r1,rgbd_concat_baseline,648,502,502,0.5876494023904383,0.27689243027888444,0.31075697211155384,0.5288135593220339,-0.033864541832669404,0.40239043824701193,0.128439848416255,1.0002492705955541,0.5372616517715144,3.7027262955944824,0.8212133436890475
astar8_footprint_r1,semantic_clean,648,502,502,0.4760956175298805,0.29880478087649404,0.17729083665338646,0.3723849372384937,0.12151394422310757,0.5099601593625498,0.03648455432724484,1.0029209463756963,0.6352721338167377,6.659391432846581,0.7779231057057076
astar8_footprint_r2,oracle_gt,648,486,486,0.14609053497942387,0.14609053497942387,0.0,0.0,0.14609053497942387,0.8209876543209876,0.0,1.0064837549983316,0.6562611365724867,0.0,0.29288127576671696
astar8_footprint_r2,rgb_baseline,648,486,486,0.3662551440329218,0.1728395061728395,0.1934156378600823,0.5280898876404494,-0.020576131687242816,0.6316872427983539,0.0608092542231345,1.0008994386757508,0.5437987517903717,4.215711731810521,0.6501864188699504
astar8_footprint_r2,rgbd_concat_baseline,648,486,486,0.6069958847736625,0.19753086419753085,0.40946502057613166,0.6745762711864407,-0.2119341563786008,0.38065843621399176,0.1737714847719948,1.0002122507846563,0.5088734294473959,4.566199796556001,1.0550195493049337
astar8_footprint_r2,semantic_clean,648,486,486,0.5061728395061729,0.2366255144032922,0.2695473251028807,0.532520325203252,-0.03292181069958852,0.4773662551440329,0.06777604721265601,1.003458059861547,0.6260498132592325,7.540069544906325,0.9238997933267014
dijkstra8_footprint_r1,oracle_gt,648,502,502,0.24900398406374502,0.24900398406374502,0.0,0.0,0.24900398406374502,0.750996015936255,0.0,1.0058659753269954,0.8183835754091873,0.0,4.372999604988056
dijkstra8_footprint_r1,rgb_baseline,648,502,502,0.3565737051792829,0.21115537848605578,0.1454183266932271,0.40782122905027934,0.06573705179282868,0.6394422310756972,0.03385183807663866,1.0018673119711727,0.5611952045001244,5.559536249727471,4.078128886227292
dijkstra8_footprint_r1,rgbd_concat_baseline,648,502,502,0.5876494023904383,0.250996015936255,0.3366533864541833,0.5728813559322034,-0.08565737051792832,0.40239043824701193,0.13380371698258342,1.0002749889903335,0.5372616517715144,5.194752986832295,7.780456176190915
dijkstra8_footprint_r1,semantic_clean,648,502,502,0.4760956175298805,0.26294820717131473,0.21314741035856577,0.4476987447698745,0.04980079681274896,0.5099601593625498,0.04218273093637952,1.0033192572451095,0.6352721338167377,8.260019321135612,6.579867931939958
astar4_footprint_r1,oracle_gt,648,502,502,0.24900398406374502,0.24900398406374502,0.0,0.0,0.24900398406374502,0.750996015936255,0.0,1.013846479746571,0.8183835754091873,0.0,0.36415936419762585
astar4_footprint_r1,rgb_baseline,648,502,502,0.37649402390438247,0.21912350597609562,0.15737051792828685,0.41798941798941797,0.061752988047808766,0.6195219123505976,0.03470647161390146,1.004296168032799,0.5611952045001244,5.070644623295689,0.5425466159618352
astar4_footprint_r1,rgbd_concat_baseline,648,502,502,0.6075697211155379,0.2410358565737052,0.3665338645418327,0.6032786885245902,-0.1254980079681275,0.38247011952191234,0.1335138289912272,1.0001502629601804,0.5372616517715144,5.0136105593876445,0.9223424330487313
astar4_footprint_r1,semantic_clean,648,502,502,0.4960159362549801,0.2589641434262948,0.23705179282868527,0.4779116465863454,0.021912350597609542,0.4900398406374502,0.044461991727841356,1.007530037461656,0.6352721338167377,8.357479680418612,0.7732490036336045
